Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,Unnamed: 22,Vigente,SEI,ABA_ORIGEM,Unnamed: 1,Unnamed: 2,mood,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,F,IAUPE %,IIT,UNIDADE
2020.0,RESITEC,UPE,0.0,SUDENE - NE 4.0/2020,Sudene,Público,Pesquisa e Desenvolvimento,1265980.0,Djalma Silva Guimarães Junior,,Recife - PE,RMR - Núcleo Centro,,,,,,,,0.0,2020-12-30,2025-01-30 00:00:00,Não Vigente,0040608325.000016/2023-49,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Wap,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Agromix,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Alimempro,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Bombas King,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,M. Dias Branco,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Control Engenharia,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Fortsan,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Grupo Alyne Cosméticos,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Crusoe Foods,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Halexistar,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Ferrocorte,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Fernão Velho,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,BonSono,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,CuraMel,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Hirdrosolo,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,ISOBLOCO,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Altenburg,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,BIOTECH,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,BRASFLEX,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Cerâmica Capri,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,CIT,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,COOPAIBA,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Icofort,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Niagro,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Rio Sol,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,GrandValle,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Termotécnica,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Gypsum,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Moderno,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,BqMil - Brasil Química e Mineração Industrial Ltda,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
