Processo,Data de deposito,Nome da patente ,Autores,Cliente,Campus UPE,Depositantes,Código ,Status INPI,Territorio,Ultima atualização,Checagem,
BR 10 2024 025737 5,09/12/2024,NÃO INFORMADO,EDUARDO CESAR DE MIRANDA LOUREIRO (UPE),EDUARDO CESAR DE MIRANDA LOUREIRO (UPE),POLI,UPE,2.1,PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO DE INVENÇÃO DEPOSITADO,BRASIL,17/06/2025,18/12/2025,NÃO INFORMADO
BR 20 2024 019708 4,25/09/2024,NÃO INFORMADO,DIEGO RATIVA (UPE),"DIEGO J MILLAN RATIVA, UPE",POLI,UPE,15.21,PEDIDO COM NUMERAÇÃO ANULADA TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL,BRASIL,01/04/2025,18/12/2025,NÃO INFORMADO
BR 10 2024 018131 0,03/09/2024,NÃO INFORMADO,NÃO INFORMADO,"MK DIGITAL LTDA / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO UPE, GILBERTO DENIS DE SOUZA LEITE FILHO/ JOÃO FAUSTO LORENZATO DE OLIVEIRA, ALDONSO MARTINS DE OLIVEIRA JUNIOR, ALEXANDRE MAGNO ANDRADE MACIEL, DIEGO JOSÉ RÁTIVA MILLÁN",POLI,UPE,2.1,PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO DE INVENÇÃO DEPOSITADO,BRASIL,23/09/2025,18/12/2025,NÃO INFORMADO
BR 10 2024 011312 8,05/06/2024,UPE,"DANIELA DE ARAÚJO VIANA MARQUES (UPE), MARIA RAFAELE OLIVEIRA BEZERRA DA SILVA (UPE)L BRUNA EMANUELLE GOMES DO NASCIMENTO (UPE)",UPE,ICB,UPE,15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,18/12/2025,18/12/2025,NÃO INFORMADO
BR 20 2024 003118 6,16/02/2024,EQUIPAMENTO AUTOMATIZADO PARA MEDIÇÃO DA FORÇA DE RETENÇÃO DE PRÓTESES DENTÁRIAS,ROGÉRIO PONTES DE ARAÚJO (USP) / SANDRA LÚCIA DANTAS DE MORAES (UPE) / RAYANNA THAYSE FLORÊNCIO COSTA (UPE) / WISKLLEY GUIMARÃES DA SILVA ADÃO / EVERTON DA SILVA PAIVA,"UPE, USP",FOP,ROGÉRIO PONTES DE ARAÚJO / SANDRA LÚCIA DANTAS DE MORAES / RAYANNA THAYSE FLORÊNCIO COSTA/ WISKLLEY GUIMARÃES DA SILVA ADÃO (BR/PE) / EVERTON DA SILVA PAIVA / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO - UPE (BR/PE),3.1,3.1 PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,18/12/2025,18/12/2025,NÃO INFORMADO
BR 10 2024 002088 0,01/02/2024,PRODUTO ATÓXICO COM ATIVIDADE ANTI-TRYPANOSOMA CRUZI CONSITUTÍDO POR PROTEÍNA DE ARTHROSPIRA PLATENSIS,DANIELA DE ARAÚJO VIANA MARQUES (UPE),UFRPE E UPE,ICB,UPE E UFRPE,15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,18/12/2025,18/12/2025,NÃO INFORMADO
BR 10 2023 027918 0,31/12/2023,PROCESSO DE SÍNTESE VERDE À FRIO DE NANOPARTÍCULAS DE PRATA A PARTIR DE EXTRATO AQUOSO DE ANGICO PARA USO EM CICATRIZAÇÃO DE FERIDAS,"ANAÍS BEZERRA DE GUSMÃO (UPE), ANA CAROLINA DE CARVALHO CORREIA (UPE), PEDRO HENRIQUE SETTE DE SOUZA (UPE), CASSIO ERACLITO ALVES DOS SANTOS (UFAL), JOHNNATAN DUARTE DE FREITAS (IFAL), CLARA ANDREZZA CRISÓSTOMO BEZERRA COSTA (IFAL)",UPE,"GARANHUNS, ARCOVERDE","UPE, UFAL, IFAL",15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,18/12/2025,18/12/2025,NÃO INFORMADO
BR 10 2023 025661 9 A2,06/12/2023,DISCOS DE CELULOSE IMPREGNADOS COM NANOPARTÍCULA DE PRATA ASSOCIADA A EXTRATO VEGETAL PARA ATIVIDADE CUPINICIDA,RAQUEL PEDROSA BEZERRA (UFRPE) / ANA LUCIA FIGUEIREDO PORTO / KETHYLEN BARBARA BARBOSA CARDOSO (UFRPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE)/ VIVIANNE FERREIRA ARAUJO BRANDAO (UFRPE) / MICHELINE THAIS DOS SANTOS (UFRPE) / MARIA CLARA DO NASCIMENTO / ROMERO MARCOS PEDROSA BRANDÃO COSTA (UPE) / THIAGO PAJEU NASCIMENTO / DANIELA DE ARAUJO VIANA MARQUES (UPE),UPE,ICB,"UFRPE, UPE E UFPI",3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,17/06/2025,18/12/2025,NÃO INFORMADO
BR 10 2023 018993 8,18/09/2023,SÍNTESE DE NOVO SCAFFOLD DE MEMBRANA 3D DE NANOCELULOSE BACTERIANA PARA CULTIVO DE CÉLULAS TRONCO MESENQUIMAIS,MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE) / SEVERINO ALVES JUNIOR (UFPE) / ELOIZA LEONARDO DE MELO (UPE)/ JÉSSICA MEIRINHOS MIRANDA (UPE) / CAIO DE LIMA PIRES (UPE)/ SUZANNE IVILA SANTOS DA ROCHA  (UPE)/ NATHALIA SEIMI DEAMA (UPE) / MARCIA BEZERRA DA SILVA / LARA MARQUES MAGALHÃES MORE (UPE),UPE,FOP,UPE,3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,23/09/2025,18/12/2025,NÃO INFORMADO
BR 10 2023 017743 3,01/09/2023,NÃO INFORMADO,NÃO INFORMADO,UPE,NÃO INFORMADO,UPE,15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,01/09/2023,18/12/2025,NÃO INFORMADO
