Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,,Vigente,SEI
2022,PD&I,IAUPE,NÃO INFORMADO,"DESENVOLVER UM MECANISMO ANTIPHISHING CAPAZ DE IDENTIFICAR E MITIGAR ATAQUES DE PHISHING DIRECIONADOS, COM SEU MODELO SUSTENTADO POR UMA ÁRVORE DE REGRAS BASEADAS EM REPUTAÇÃO",TEMPEST SECURITY INTELLIGENCE S.A,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 30.000,00",CARLO MARCELO REVOREDO DA SILVA,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,03/2022,06/2022,NÃO VIGENTE,0040610072.000031/2023-58
2022,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 2.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,1,1,2,1,NÃO INFORMADO,NÃO INFORMADO,7,14/03/2022,13/06/2022,NÃO VIGENTE,0040610072.000008/2023-63
2022,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO DE UM SISTEMA DE JIGA DE TESTES PARA MONITORAMENTO DA QUALIDADE DOS INSUMOS UTILIZADOS NA LINHA DE PRODUÇÃO,POWERPC COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 375.148,20",JOÃO FAUSTO LORENZATO DE OLIVEIRA,NÃO INFORMADO,BELO HORIZONTE - MG,EXTERNO,1,NÃO INFORMADO,NÃO INFORMADO,2,2,NÃO INFORMADO,NÃO INFORMADO,5,01/04/2022,01/09/2022,NÃO VIGENTE,0040610072.000030/2023-11
2022,PD&I,IAUPE,NÃO INFORMADO,"PLATAFORMA INTELIGENTE PARA 
ASSESSORIA JURÍDICA 4.0",NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,18/04/2022,15/07/2022,NÃO VIGENTE,0040608325.000050/2022-32 E 0040610072.000009/2023-16
2022,PD&I,IAUPE,NÃO INFORMADO,"FASE 2 - PROJETO ""C"": SISTEMA PARA SUPORTE À GESTÃO DATA-DRIVEN",BALL BEVERAGE CAN SOUTH AMERICA S.A.,PRIVADO,INDÚSTRIA DE EMBALAGENS,"R$ 763.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,4,1,2,3,1,NÃO INFORMADO,NÃO INFORMADO,11,26.4.2022,26/10/2023,NÃO VIGENTE,0040608325.000043/2022-31
NÃO INFORMADO,NÃO INFORMADO,IAUPE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
2022,PD&I,IAUPE,5,"FASE 2 - PROJETO ""D"": PLATAFORMA DE GÊMEOS DIGITAIS",BALL BEVERAGE CAN SOUTH AMERICA S.A.,PRIVADO,INDÚSTRIA DE EMBALAGENS,"R$ 425.000,00",ALEXANDRE MAGNO ANDRADE MACIEL,NÃO INFORMADO,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,1,1,1,2,1,NÃO INFORMADO,NÃO INFORMADO,6,26.4.2022,26/10/2023,NÃO VIGENTE,0040608325.000043/2022-31
2022,PD&I,IAUPE,5,"RAVE 2 - OTIMIZAÇÃO DE REDES 
NEURAIS PROFUNDAS PARA CLASSIFICAÇÃO 
VEICULAR",PUMATRONIX EQUIPAMENTOS ELETRÔNICOS LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 120.500,00",ALEXANDRE MAGNO ANDRADE MACIEL,NÃO INFORMADO,CURITIBA - PR,EXTERNO,2,NÃO INFORMADO,2,3,1,NÃO INFORMADO,NÃO INFORMADO,8,01/05/2022,30/08/2022,NÃO VIGENTE,0040608325.000055/2022-65
2022,PD&I,IAUPE,NÃO INFORMADO,UTILIZAÇÃO DE SMART CONTRACTS EM  BLOCKCHAIN NA ESFERA JURÍDICA: APLICABILIDADE E IMPACTOS (1),NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 40.875,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,4,02/05/2022,31/07/2022,NÃO VIGENTE,0040608325.000054/2022-11 E 0040608325.000186/2022-42
2022,PD&I,IAUPE,NÃO INFORMADO,"PESQUISAR AS NECESSIDADES DA CADEIA PRODUTIVA DO SETOR DA CONSTRUÇÃO, EFETIVAR AÇÕES VOLTADAS À INOVAÇÃO E AO DESENVOLVIMENTO TECNOLÓGICO DAS EMPRESAS E PROMOVER A DISSEMINAÇÃO DO CONHECIMENTO.",ADEMI-PE,PÚBLICO,CONSTRUÇÃO CIVIL,"R$ 34.200,00",ALBERTO CASADO LORDSLEEM JÚNIOR,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,18/05/2022,18/05/2023,NÃO VIGENTE,0040608325.000057/2022-54
2022,PD&I,IAUPE,NÃO INFORMADO,"PINSA - PLATAFORMA INTELIGENTE EM 
NÉVOA PARA SEGURANÇA AUTOMATIZADA",AVANTIA TECNOLOGIA E ENGENHARIA S.A,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 348.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,1,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,3,01/06/2022,11/2024,NÃO VIGENTE,0040608325.000072/2022-01
2022,PD&I,IAUPE,NÃO INFORMADO,MINISTRAR O CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM VIRTUALIZAÇÃO DE REDES.,FUNDAÇÃO PARA INOVAÇÕES TECNOLÓGICAS - FITEC,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 100.000,00",PAULO HUGO ESPÍRITO SANTO LIMA,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,06/2022,06/2023,NÃO VIGENTE,0040608325.000069/2022-89
2022,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DAS VEDAÇÕES VERTICAIS DE EDIFICAÇÃO DE MÚLTIPLOS PAVIMENTOS.,GB ICON,PRIVADO,SETOR IMOBILIÁRIO,"R$ 13.015,00",ALBERTO CASADO LORDSLEEM JÚNIOR,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,08/06/2022,08/11/2022,NÃO VIGENTE,0040608325.000082/2022-38
2022,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 3.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,1,1,2,1,NÃO INFORMADO,NÃO INFORMADO,7,14/06/2022,13/09/2022,NÃO VIGENTE,0040608325.000071/2022-58
2022,PD&I,IAUPE,NÃO INFORMADO,"PLATAFORMA INTELIGENTE PARA 
ASSESSORIA JURÍDICA – 5.0",NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 75.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,18/07/2022,15/10/2022,NÃO VIGENTE,0040608325.000099/2022-95 E 0040610072.000009/2023-16
2022,PD&I,IAUPE,NÃO INFORMADO,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA: APLICABILIDADE E IMPACTOS DE UMA REDE PERMISSIONADA NO PROCESSO DE M&A COM DUE DILIGENCE,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 40.875,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,4,01/08/2022,31/10/2022,NÃO VIGENTE,0040608325.000186/2022-42
2022,PD&I,IAUPE,NÃO INFORMADO,"ANÁLISE DO NÍVEL DE TENSÃO RESIDUAL 
NO RAMO DPS PROVOCADO PELA  UTILIZAÇÃO DE PROTEÇÃO CONTRA  SOBRECORRENTES *","CLAMPER INDÚSTRIA E
COMÉRCIO S.A",PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 102.875,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,LAGOA SANTA - MG,EXTERNO,1,1,NÃO INFORMADO,2,1,NÃO INFORMADO,NÃO INFORMADO,5,23/08/2022,01/09/2023,NÃO VIGENTE,0040608325.000098/2022-41
2022,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 4.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 50.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,1,2,2,1,NÃO INFORMADO,NÃO INFORMADO,8,14/09/2022,13/12/2022,NÃO VIGENTE,0040608325.000071/2022-58
2022,PD&I,IAUPE,NÃO INFORMADO,"PLATAFORMA INTELIGENTE PARA 
ASSESSORIA JURÍDICA – 6.0",NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 75.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,17/10/2022,01/01/2023,NÃO VIGENTE,0040608325.000099/2022-95 E 0040610072.000009/2023-16
2022,PD&I,IAUPE,NÃO INFORMADO,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 3.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 40.875,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,4,01/11/2022,31/01/2023,NÃO VIGENTE,0040608325.000186/2022-42
2022,PD&I,IAUPE,NÃO INFORMADO,2ª ETAPA: DESENVOLVER SISTEMA DE SECAGEM DO BAGAÇO DE CANA-DE-AÇÚCAR EM SISTEMA DE COGERAÇÃO DE ENERGIA.,COMPANHIA ALCOOQUIMICA NACIONAL,PÚBLICO,INDÚSTRIA ALCOOLQUÍMICA,"R$ 1.560.482,89",ROGÉRIO PONTES DE ARAÚJO,NÃO INFORMADO,VITÓRIA DE SANTO ANTÃO - PE,MATA SUL,1,NÃO INFORMADO,NÃO INFORMADO,3,1,NÃO INFORMADO,NÃO INFORMADO,5,21/11/2022,21/01/2024,NÃO VIGENTE,0040610072.000003/2022-50
2022,PD&I,IAUPE,NÃO INFORMADO,"NATTO DIGITAL: VISIBILIDADE E PERFORMANCE NA MANUFATURA COM OBJETIVO DE DESENVOLVER UMA SOLUÇÃO CAPAZ DE COLETAR E ARMAZENAR OS DADOS DE MÁQUINAS E DE OUTROS SISTEMAS, TORNANDO-OS FACILMENTE ACESSÍVEIS POR SOLUÇÕES DIGITAIS DE VISUALIZAÇÃO E ANÁLISE",NOTARO ALIMENTOS LTDA.,PRIVADO,INDÚSTRIA ALIMENTÍCEA,"R$ 150.040,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,1,3,1,NÃO INFORMADO,NÃO INFORMADO,5,01/12/22,31/07/24,NÃO VIGENTE,"0040610072.000011/2022-04
(HOUVE ADITIVO)"
2022,PD&I,IAUPE,NÃO INFORMADO,ANÁLISE DA VIDA ÚTIL DE INVERSORES DE FREQUÊNCIA SUBMETIDOS A SURTOS ELÉTRICOS DE ALTA TENSÃO.,"CLAMPER INDÚSTRIA E
COMÉRCIO S.A",PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 511.250,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,LAGOA SANTA - MG,EXTERNO,4,1,NÃO INFORMADO,4,2,NÃO INFORMADO,NÃO INFORMADO,11,14/12/2022,14/11/2023,NÃO VIGENTE,0040610072.000010/2022-51
2022,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 5.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 120.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,4,2,2,2,1,NÃO INFORMADO,NÃO INFORMADO,11,14/12/2022,13/03/2023,NÃO VIGENTE,0040608325.000071/2022-58
2022,PD&I,IAUPE,NÃO INFORMADO,"FASE 3: ""E"" SISTEMAS PARA SUPORTE À GESTÃO DATA-DRIVEN, CUJO OBJETIVO É DESENVOLVER UM CONJUNTO DE RECURSOS QUE DEEM TRANSPARÊNCIA ÀS CONDIÇÕES OPERACIONAIS DAS LINHAS DE PRODUÇÃO DA BALL, CONSOLIDANDO O ÍNDICE DE MATURIDADE 4, DA ACATECH.",BALL BEVERAGE CAN SOUTH AMERICA S.A.,PRIVADO,INDÚSTRIA DE EMBALAGENS,"R$ 828.000,00",JOÃO FAUSTO LORENZATO DE OLIVEIRA,NÃO INFORMADO,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,5,1,2,8,1,NÃO INFORMADO,NÃO INFORMADO,17,28.12.2022,28/12/2023,NÃO VIGENTE,0040608325.000043/2022-31
2022,SERVIÇO TECNOLÓGICO,UPE,NÃO INFORMADO,"SECTI /2022
Nº 03/2022",SECTI,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 297.028,50",DJALMA SILVA GUIMARÃES JUNIOR,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,20/06/2022,20/10/2022,NÃO VIGENTE,3100000007.000766/2022-90
2022,SERVIÇO TECNOLÓGICO,UPE,NÃO INFORMADO,TCE / 2022 (1ª E 2ª FASE),TRIBUNAL DE CONTAS DO ESTADO (TCE),PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 336.840,00",DJALMA SILVA GUIMARÃES JUNIOR,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,02/01/2023,01/12/2026,VIGENTE,"0040608325.000207/2022-20
0040610072.000079/2023-66"
2023,PD&I,IAUPE,NÃO INFORMADO,PAMESA DIGITAL - FASE 1: PLATAFORMA DE INTELIGÊNCIA DE MANUFATURA APLICADA À CLASSIFICAÇÃO DE PERDAS EM FINAL DE LINHA DE PRODUÇÃO E CONTROLE ESTATÍSTICO DE PROCESSO.,PAMESA DO BRASIL S/A,PRIVADO,INDÚSTRIA DE MATERIAIS DE CONSTRUÇÃO,"R$ 200.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,JAN./2023,DEZ./2024,NÃO VIGENTE,"0040610072.000006/2023-74
(HOUVE ADITIVO)"
2023,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO DO PROJETO CAMPARI 4.0 – FASE 3: AUTOMAÇÃO E INTELIGÊNCIA NO PROCESSO DE FORMULAÇÃO.,CAMPARI DO BRASIL LTDA.,PRIVADO,INDÚSTRIA DE BEBIDAS ALCOÓLICAS,"R$ 230.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,NÃO INFORMADO,NÃO INFORMADO,1,2,1,NÃO INFORMADO,NÃO INFORMADO,4,01/2023,12/2023,NÃO VIGENTE,0040610072.000004/2023-85
2023,PD&I,IAUPE,NÃO INFORMADO,PROJETO CRISTALPET DIGITAL: VISIBILIDADE E PERFORMANCE EM PROCESSOS. O OBJETIVO DESTE TRABALHO É PROMOVER A TRANSFORMAÇÃO DIGITAL EM 5 DIFERENTES ÁREAS DE NEGÓCIO ATRAVÉS DA IMPLEMENTAÇÃO DE SOLUÇÕES ESPECÍFICAS NO PLANO DE TRABALHO.,CRISTAL PET,PRIVADO,INDÚSTRIA DE EMBALAGENS,"R$ 587.500,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,MACEIÓ - AL,EXTERNO,1,NÃO INFORMADO,NÃO INFORMADO,3,1,NÃO INFORMADO,NÃO INFORMADO,5,JAN./2023,DEZ./2023,NÃO VIGENTE,0040610072.000012/2023-21
2023,PD&I,IAUPE,NÃO INFORMADO,"PROJETO CHLORUM DIGITAL:
VISIBILIDADE E PERFORMANCE NA INDÚSTRIA",CAPE IGARASSU INDÚSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA.,PRIVADO,INDÚSTRIA QUÍMICA,"R$ 653.200,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,IGARASSU - PE,RMR - NÚCLEO NORTE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,JAN./2023,DEZ./2023,NÃO VIGENTE,0040610072.000039/2023-14
2023,PD&I,IAUPE,NÃO INFORMADO,EXPANSÃO DA RASTREABILIDADE E AVANÇO PARA ÍNDICE MATURIDADE 4 CONTEMPLANDO EXPANSÃO DO SISTEMA DE RASTREABILIDADE DE MATERIAIS PARA TODOS OS SKUS DA FÁBRICA E APERFEIÇOAMENTO DO SISTEMA DE GERENCIAMENTO DE PERFORMANCE E DE PROCESSO DA PRENSA SACMI.,ROCA SANITÁRIOS BRASIL LTDA.,PRIVADO,INDÚSTRIA DE PRODUTOS SANITÁRIOS,"R$ 290.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,1,1,3,1,NÃO INFORMADO,NÃO INFORMADO,6,01/2023,11/2023,NÃO VIGENTE,0040610072.000003/2023-31
2023,PD&I,IAUPE,NÃO INFORMADO,"PLATAFORMA INTELIGENTE PARA 
ASSESSORIA JURÍDICA – 7.0",NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 75.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,16/01/2023,15/04/2023,NÃO VIGENTE,0040610072.000009/2023-16
2023,RESITEC,IAUPE,5,REALIZAÇÃO DE UM PROGRAMA DE RESIDÊNCIA TECNOLÓGICA DE FORMA A CONTEMPLAR APOIO NO DESENVOLVIMENTO DE PROJETO DE INOVAÇÃO TECNOLÓGICA JUNTO A 16 PROFISSIONAIS. RESIDÊNCIA DE CIÊNCIA DE DADOS,STELLANTIS,PRIVADO,INDÚSTRIA AUTOMOTIVA,"R$ 179.200,00",ALEXANDRE MAGNO ANDRADE MACIEL,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,02/2023,28/02/2024,NÃO VIGENTE,0040608757.000003/2023-90
2023,PD&I,IAUPE,5,DESENVOLVIMENTO DE SISTEMA DE RECOMENDAÇÃO DE HIDRÔMETRO E ANÁLISE PREDITIVA DE PERDAS EM REDES DE TELEMETRIA.,ZANELLA INFORMÁTICA LTDA,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 100.000,00",ALEXANDRE MAGNO ANDRADE MACIEL,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,1,2,1,NÃO INFORMADO,NÃO INFORMADO,6,02/2023,06/2023,NÃO VIGENTE,0040610072.000043/2023-82
2023,PD&I,IAUPE,NÃO INFORMADO,PARTÍCIPES PARA DESENVOLVER PROJETO PARA UTILIZAÇÃO DE SMARTCONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 4.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 40.875,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,4,01/02/2023,01/04/2023,NÃO VIGENTE,0040608325.000186/2022-42
2023,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS  6.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 120.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,4,3,2,2,1,NÃO INFORMADO,NÃO INFORMADO,12,01/03/2023,01/06/2023,NÃO VIGENTE,0040610072.000046/2023-16
2023,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO DE UM SISTEMA AUTOMATIZADO PARA CONTROLE DE ESTOQUE E APOIO À RPA,"POWERPC COMÉRCIO 
DE EQUIPAMENTOS DE
INFORMÁTICA LTDA.",PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 320.678,59",JOÃO FAUSTO LORENZATO DE OLIVEIRA,NÃO INFORMADO,BELO HORIZONTE - MG,EXTERNO,2,NÃO INFORMADO,NÃO INFORMADO,5,4,NÃO INFORMADO,NÃO INFORMADO,11,01/04/2023,01/09/2023,NÃO VIGENTE,0040610072.000054/2023-62
2023,PD&I,IAUPE,NÃO INFORMADO,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 5.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 40.875,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,4,02/05/2023,31/07/2023,NÃO VIGENTE,0040608325.000186/2022-42
2023,PD&I,IAUPE,NÃO INFORMADO,"PLATAFORMA INTELIGENTE PARA 
ASSESSORIA JURÍDICA – 8.0",NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 75.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,16/04/2023,15/07/2023,NÃO VIGENTE,0040610072.000053/2023-18
2023,PD&I,IAUPE,NÃO INFORMADO,"PESQUISA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO NA CONSTRUÇÃO DE EDIFÍCIOS.",ADEMI-PE,PÚBLICO,CONSTRUÇÃO CIVIL,"R$ 34.200,00",ALBERTO CASADO LORDSLEEM JÚNIOR,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,19/05/2023,19/05/2024,NÃO VIGENTE,0040608325.000057/2022-54
2023,PD&I,IAUPE,NÃO INFORMADO,REDUÇÃO DA PERDA DE BORDO NA FABRICAÇÃO DE VIDROS PLANOS,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP - VIVIX,PRIVADO,INDÚSTRIA DE VIDROS,"R$ 100.000,00",DIEGO JOSÉ RÁTIVA MILLÁN,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,6,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,8,31/05/2023,02/2024,NÃO VIGENTE,0040610072.000062/2023-17
