Processo,Data de deposito,Nome da patente ,Autores,Cliente,Campus UPE,Depositantes,Código ,Status INPI,Territorio,Ultima atualização,Checagem,Unnamed: 12,Categoria_Aba,Pedido,Data,Titulo,Despacho,Status
BR 10 2022 022600 8 A2,2022-11-07,PROCESSO DE EXTRAÇÃO POR SISTEMA DE DUAS FASES AQUOSAS DE ALBUMINA,ANA LÚCIA FIGUEIREDO PORTO(UFRPE) / ELIVELTON VERISSIMO DE SOUZA (UFPE) / THIAGO PAJEÚ NASCIMENTO (UPE) / RENATA VITÓRIA DA SILVA SOBRAL / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / ROMERO MARCOS PEDROSA BRANDÃO COSTA (UPE) / ANA CRISTINA LIMA LEITE (UFPE),UFRPE,ICB,"UPE, UFRPE, UFPI, UFPE",2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2024-05-21,2025-12-18,,Patentes,,,,,
BR 10 2021 024121 7 A2,2021-11-30,ESPONJA DE GELATINA HEMOSTÁTICA REVESTIDA COM PRÓPOLIS VERDE COM ATIVIDADE ANTIOXIDANTE E ANTIBACTERIANA,KAROLINE GOMES DA SILVEIRA (UPE) / RICARDO JOSE DE HOLANDA VASCONCELLOS (UPE) / EMANUEL DIAS DE OLIVEIRA E SILVA(UPE),UPE,FOP,UPE,2001-01-11 00:00:00,Arquivamento definitivo - Artigo 33 da Lei da Propriedade Industrial (LPI),Brasil,2025-02-25,2025-12-18,,Patentes,,,,,
BR 10 2021 022189 5 A2,2021-11-05,PROCESSO SIMULTÂNEO DE EXTRAÇÃO MECÂNICA E FILTRAÇÃO DE PROTEÍNAS DO EXOCARPO E TEGUMENTO DE SEMENTES DE PRITCHARDIA PACÍFICA,ANA LÚCIA FIGUEIREDO PORTO (UFRPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / THIAGO PAJEU NASCIMENTO (UFPI) / ANNA GABRIELLY DUARTE NEVES,UFRPE,ICB,"UFPE, UPE, UFRPE",2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2023-05-23,2025-12-18,,Patentes,,,,,
BR 10 2021 020801 5 A2,2021-10-17,TOMÓGRAFO ÓPTICO E PROCESSO DE IMAGEAMENTO DE DOCUMENTOS FÍSICOS FECHADOS,JOSÉ ROGÉRIO DE OLIVEIRA CAMPOS (UFPE) / EDGAR VITOR DE ALBUQUERQUE SANTOS (UFPE) / ANDERSON MONTEIRO AMARAL (UFPE) / LEONARDO DE SOUZA MENEZES (UFPE) / WELLINGTON PINHEIRO DOS SANTOS (UFPE)  / ANTÓNIO JOSÉ ESTÊVÃO GRANDE CANDEIAS (UNIVERSIDADE DE ÉVORA) / RICARDO EMMANUEL DE SOUZA (UFPE),UFPE,UFPE,"UFPE, UPE, Universidade de Évora",2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2023-04-25,2025-12-18,,Patentes,,,,,
BR 20 2021 017879 0 U2,2021-09-09,SISTEMA DE ACIONAMENTO REMOTO PARA MOVIMENTO DE TRANSLAÇÃO DO REBOLO ABRASIVO UTILIZADO NA ROOT END GRINDER TYPE RG 1600-2300B,ROGÉRIO PONTES DE ARAÚJO (UPE) / GILBERTO DÊNIS DE SOUZA LEITE FILHO (UPE) / VICTOR HUGO DE BARROS CABRA \(UPE)L,Rogério Pontes,POLI,ROGÉRIO PONTES DE ARAÚJO  / GILBERTO DÊNIS DE SOUZA LEITE FILHO / VICTOR HUGO DE BARROS CABRAL / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO - UPE / MEKATRONIK INDÚSTRIA E COMÉRCIO DE AUTOMAÇÃO LTDA ,2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,,2025-12-18,,Patentes,,,,,
BR 20 2021 014624 4 U2,2021-07-26,PLACA DE COLETOR SOLAR TERMICO COM SISTEMA LENTICULAR, LUIS ARTURO GOMEZ MALAGON (UPE) / CAIO VINICIUS PINHEIRO VITAL (UPE) / DIEGO J RATIVA MILLAN (UPE) / RENATO EVANGELISTA DE ARAUJO (UPE),Diego Rativa,POLI,"Diego Rativa, UPE",2025-01-11 00:00:00,Arquivamento definitivo - Artigo 33 da Lei da Propriedade Industrial (LPI),Brasil,2024-10-22,2025-12-18,,Patentes,,,,,
BR 10 2021 008812 5 A2,2021-05-06,DISPOSITIVO PARA REGISTRO DAS RELAÇÕES MAXILOMANDIBULARES EM ARCOS EDÊNTULOS,ADRIANA DA FONTE PORTO CARREIRO (UFRN) / ANA LARISSE CARNEIRO PEREIRA (UFPB) / RODRIGO FALCÃO CARVALHO PORTO DE FREITAS (UFRN) / SANDRA LÚCIA DANTAS DE MORAES (UPE) / ANNE KALINE CLAUDINO RIBEIRO (UFRN),UFRN,FOP,UPE E UFRN,2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2022-06-07,2025-12-18,,Patentes,,,,,
BR 10 2020 024026 9 A2,2020-11-25,DISPOSITIVO PARA REGISTRO DAS RELAÇÕES MAXILOMANDIBULARES EM ARCOS EDÊNTULOS,ADRIANA DA FONTE PORTO CARREIRO (UFRN) / ANA LARISSE CARNEIRO PEREIRA (UFPB) / RODRIGO FALCÃO CARVALHO PORTO DE FREITAS (UFRN) / SANDRA LÚCIA DANTAS DE MORAES (UPE) / ANNE KALINE CLAUDINO RIBEIRO (UFRN),UFRN,FOP,UPE E UFRN,2025-06-03 00:00:00,Publicação do Pedido Arquivado Definitivamente,Brasil,2022-06-07,2025-12-18,,Patentes,,,,,
BR 10 2020 022866 8 A2,2020-11-10,EXTRATO ORGÂNICO OBTIDO A PARTIR DE MICRORGANISMOS FOTOSSINTETIZANTES COM POTENCIAL CICATRIZANTE E ANTIMICROBIANO,ANA LÚCIA FIGUEIREDO PORTO (UFRPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / REBECA GONCALVES DE MELO (UFPE) / ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / ALEXSANDRA FRAZÃO DE ANDRADE (UFRPE) / MILLENA PATRÍCIO DO NASCIMENTO FERREIRA (UFRPE) / JORGE VINÍCIUS FERNANDES LIMA CAVALCANTI (UFPE),UFRPE,ICB,"UPE, UFPE, E UFRPE",2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2022-05-24,2025-12-18,,Patentes,,,,,
BR 10 2020 022860 9 A2,2020-11-10,TRIPANOCIDA NATURAL E ATÓXICO PROVENIENTE DA BIOMASSA DE MICRORGANISMO FOTOSSINTETIZANTE,DANIELA DE ARAÚJO VIANA MARQUES (UPE) / JOSÉ NOÉ DA SILVA JÚNIOR (UFPE) / ANA CARLA DA SILVA (UFRPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / VIRGINIA MARIA BARROS DE LORENA (UFPE) / SILVANA DE FÁTIMA FERREIRA DA SILVA CAIRES (UFPE) / YANARA ALESSANDRA SANTANA MOURA (UFRPE) / VIVIANNE LAYS RIBEIRO CAVALCANTI (UFRPE) / MARIA RAFAELE OLIVEIRA BEZERRA DA SILVA (UPE0 / KAMILA CÁSSIA DOS SANTOS OLIVEIRA / ANA LÚCIA FIGUEIREDO PORTO (UFRPE),UPE,ICB,UPE,2025-01-11 00:00:00,Arquivamento definitivo - Artigo 33 da Lei da Propriedade Industrial (LPI),Brasil,2024-06-04,2025-12-18,,Patentes,,,,,
